Semivariogram           tail:Primary      head:Primary       direction  1 
   2        3.726  50717.41277       23      510.14783      633.86522
   3       11.224  55101.54043      699      583.11760      560.89485
   4       20.579  78207.79944     1325      528.12174      509.06702
   5       30.114  87751.91957     1453      510.27082      488.24549
   6       40.341  98747.31529     1246      469.64607      458.53716
   7       50.186 105618.06378     1055      448.73953      437.63858
   8       60.284  98214.28132     1047      413.82397      413.54795
   9       70.376 106222.65957      936      440.01976      423.56581
  10       79.872 110723.23995      789      458.80405      449.49341
  11       89.696  97006.28186      817      451.42472      431.68898
  12       99.753  91556.24253      751      442.73941      420.36884
Semivariogram           tail:Primary      head:Primary       direction  5 
   1         .000       .00000      470      436.45787      436.45787
   2        4.365  42218.96974        8      673.58750      679.30000
   3       11.340  53292.87175      839      580.89690      568.50691
   4       20.875  67996.91097     1305      535.95218      528.45441
   5       30.385  78377.16549     1489      517.33566      510.44117
   6       40.543  86731.21459     1327      492.56790      484.44951
   7       50.303  94854.78178     1217      483.17601      492.07083
   8       60.692  95302.54479     1290      452.00519      462.44651
   9       70.476 107019.80740     1118      476.53005      496.97603
  10       80.482 100300.38651     1225      449.18147      463.40849
  11       90.513 105318.76052      948      492.04958      526.87606
  12      100.526 104705.57705     1011      454.84243      481.33363
Semivariogram           tail:Primary      head:Primary       direction  6 
   1         .000       .00000      470      436.45787      436.45787
   2        3.856  25105.81719        7      741.02857      734.70001
   3       11.461  49602.61609      837      581.89426      583.94146
   4       20.834  66124.62405     1326      535.27489      535.75400
   5       30.334  76578.37666     1481      523.90216      528.69973
   6       40.517  79532.91689     1372      505.58185      506.93557
   7       50.267  85039.30471     1269      506.50363      522.49645
   8       60.566  88745.60743     1419      488.67632      501.45765
   9       70.416  95911.80733     1234      523.64635      541.99416
  10       80.492  85467.21585     1283      488.12782      495.54544
  11       90.444  92444.74056      992      528.01411      524.99446
  12      100.502  90235.46250     1017      488.39548      488.39135
Semivariogram           tail:Primary      head:Primary       direction  7 
   1         .000       .00000      470      436.45787      436.45787
   2        3.576  17328.66803       21      647.49524      641.52381
   3       11.327  47748.16195      704      573.21960      581.79077
   4       20.631  66715.22929     1318      534.01919      547.21138
   5       30.098  80988.18147     1462      527.86142      540.95342
   6       40.369  82716.73823     1320      498.65583      517.54977
   7       50.146  82242.06237     1212      502.06675      519.52805
   8       60.114  83537.06827     1299      477.97229      503.75089
   9       70.192  85145.08948     1167      488.15715      532.27678
  10       79.891  87670.58806      946      497.65306      553.72093
  11       89.625  82662.29785      887      468.61612      530.30891
  12       99.811  87759.63459      769      461.21977      506.08544
Semivariogram           tail:Primary      head:Primary       direction  8 
   1         .000       .00000      470      436.45787      436.45787
   2        3.806  28456.04078       66      710.59697      684.61212
   3       11.065  52719.54931      831      574.42503      592.01877
   4       20.443  70546.57044     1341      526.31790      551.60805
   5       29.986  86465.50645     1464      499.59863      524.94706
   6       40.343  83629.46533     1200      472.59625      497.57483
   7       49.463  87040.71693     1085      470.47576      501.26756
   8       59.640  90191.10702     1061      454.44694      495.42686
   9       70.166  89306.97172      914      426.69376      490.51368
  10       79.972 104574.30641      751      424.10772      514.08242
  11       89.597 103108.52813      620      389.75613      486.18726
  12      100.039  96526.71188      516      340.21318      422.51337
Semivariogram           tail:Primary      head:Primary       direction  9 
   1         .000       .00000      470      436.45787      436.45787
   2        3.820  29810.22800       88      693.69204      678.76818
   3       10.828  56642.02603      800      566.14212      590.13475
   4       20.322  78494.53832     1222      510.98011      536.82717
   5       29.523  94036.65923     1384      475.69378      513.36329
   6       40.144  86869.56337     1191      436.52863      464.09589
   7       49.638  96392.22946      975      440.47046      468.69826
   8       59.994  94969.91625      801      408.77029      447.47553
   9       70.174  91210.80750      785      382.61885      457.71083
  10       79.971  94632.16583      642      367.96386      443.02897
  11       89.957  96683.63361      536      333.86287      412.79757
  12      100.388  92600.40308      527      331.19753      426.95123
